snapshot_date,skill_name,demand_count,demand_pct,median_days_open,salary_premium_pct,repost_rate_pct,scarcity_score,year,day,month
2026-07-12,Dagster,14,0.3,6.0,,0.0,51.6,2026,12,July
2026-07-12,Data Modeling,340,6.5,0.0,-18.6,30.4,33.3,2026,12,July
2026-07-12,Data Pipeline,59,1.1,0.0,28.4,17.0,39.4,2026,12,July
2026-07-12,Data Visualization,87,1.7,0.0,-18.6,8.2,19.9,2026,12,July
2026-07-12,Databricks,389,7.4,0.0,19.1,21.9,44.8,2026,12,July
2026-07-12,Datadog,14,0.3,35.0,-25.0,34.6,65.1,2026,12,July
2026-07-12,dbt,194,3.7,0.0,-15.7,15.7,24.7,2026,12,July
2026-07-12,Deep Learning,31,0.6,0.0,3.7,12.2,32.5,2026,12,July
2026-07-12,Docker,42,0.8,1.0,109.3,15.4,66.9,2026,12,July
2026-07-12,Elasticsearch,18,0.3,54.0,151.2,3.2,79.3,2026,12,July
2026-07-12,ETL,304,5.8,0.0,-24.4,23.5,25.4,2026,12,July
2026-07-12,Excel,302,5.8,0.0,-36.0,20.6,19.3,2026,12,July
2026-07-12,Figma,29,0.6,2.0,,2.3,54.8,2026,12,July
2026-07-12,Flink,39,0.7,41.0,,15.1,75.3,2026,12,July
2026-07-12,GCP,88,1.7,0.0,10.5,19.2,39.8,2026,12,July
2026-07-12,Git,99,1.9,1.0,22.4,18.2,65.5,2026,12,July
2026-07-12,Google Analytics,10,0.2,0.0,-20.9,18.9,24.9,2026,12,July
2026-07-12,Grafana,26,0.5,0.0,112.1,16.7,44.3,2026,12,July
2026-07-12,GraphQL,23,0.4,1.0,,29.0,71.4,2026,12,July
2026-07-12,Java,109,2.1,0.0,110.1,31.2,53.8,2026,12,July
2026-07-12,JavaScript,23,0.4,0.0,-2.3,51.0,43.6,2026,12,July
2026-07-12,Jira,26,0.5,1.0,-39.5,31.6,47.7,2026,12,July
2026-07-12,Kafka,129,2.5,1.0,-24.4,17.1,43.1,2026,12,July
2026-07-12,Kotlin,10,0.2,0.0,151.2,0.0,33.2,2026,12,July
2026-07-12,Kubernetes,53,1.0,0.0,88.8,14.0,40.0,2026,12,July
2026-07-12,Linux,35,0.7,0.0,,16.4,18.5,2026,12,July
2026-07-12,LLMs / GenAI,228,4.4,0.0,10.5,2.6,28.5,2026,12,July
2026-07-12,Looker,68,1.3,38.0,43.6,1.8,69.9,2026,12,July
2026-07-12,Machine Learning,625,11.9,0.0,-10.2,6.0,22.8,2026,12,July
2026-07-12,Microsoft Fabric,20,0.4,,141.0,0.0,54.4,2026,12,July
2026-07-12,Mixpanel,12,0.2,1.0,-20.9,0.0,33.6,2026,12,July
2026-07-12,MLflow,24,0.5,54.0,,0.0,60.6,2026,12,July
2026-07-12,NetSuite,10,0.2,,,0.0,0.0,2026,12,July
2026-07-12,NLP,71,1.4,1.0,10.5,10.3,56.9,2026,12,July
2026-07-12,NumPy,28,0.5,0.0,-3.5,19.8,34.5,2026,12,July
2026-07-12,Pandas,63,1.2,0.0,-3.5,18.7,32.9,2026,12,July
2026-07-12,PostgreSQL,37,0.7,0.0,151.2,27.0,53.9,2026,12,July
2026-07-12,Power BI,743,14.2,0.0,-36.0,27.5,21.6,2026,12,July
2026-07-12,Prometheus,19,0.4,1.0,,28.1,70.8,2026,12,July
2026-07-12,Prototyping,53,1.0,2.0,93.6,0.0,60.8,2026,12,July
2026-07-12,Python,990,18.9,0.0,-20.1,20.1,29.0,2026,12,July
2026-07-12,PyTorch,33,0.6,2.0,2.3,3.0,58.3,2026,12,July
2026-07-12,RAG,37,0.7,0.0,-21.8,1.7,11.7,2026,12,July
2026-07-12,React,10,0.2,1.0,,7.7,49.8,2026,12,July
2026-07-12,Redshift,49,0.9,0.0,-21.5,31.2,30.6,2026,12,July
2026-07-12,SageMaker,10,0.2,11.0,66.9,17.6,78.3,2026,12,July
2026-07-12,Salesforce,18,0.3,,,0.0,0.0,2026,12,July
2026-07-12,SAS,67,1.3,0.0,-31.7,8.0,11.0,2026,12,July
2026-07-12,Scala,67,1.3,0.0,-18.6,35.6,34.9,2026,12,July
2026-07-12,scikit-learn,52,1.0,0.0,-3.5,15.3,28.2,2026,12,July
2026-07-12,SIEM,13,0.2,5.0,,40.9,87.6,2026,12,July
2026-07-12,Snowflake,444,8.5,0.0,-15.7,17.6,26.4,2026,12,July
2026-07-12,Spark,274,5.2,0.0,-2.3,18.3,34.0,2026,12,July
2026-07-12,SQL,1431,27.3,0.0,-22.7,22.7,26.8,2026,12,July
2026-07-12,Stakeholder Mgmt,574,11.0,0.0,-4.1,12.1,26.3,2026,12,July
2026-07-12,Statistical Analysis,306,5.8,0.0,-8.1,11.1,25.4,2026,12,July
2026-07-12,System Design,28,0.5,0.0,,5.8,10.8,2026,12,July
2026-07-12,Tableau,314,6.0,0.0,-15.7,17.9,27.1,2026,12,July
2026-07-12,TensorFlow,26,0.5,2.0,2.3,2.1,56.6,2026,12,July
2026-07-12,Terraform,50,1.0,0.0,-36.0,19.6,17.6,2026,12,July
2026-07-12,Trino,20,0.4,,,20.0,72.0,2026,12,July
2026-07-12,TypeScript,15,0.3,7.0,,0.0,52.5,2026,12,July
2026-07-12,A/B Testing,26,0.9,0.0,51.4,5.3,41.6,2026,12,July
2026-07-12,Agile / Scrum,195,7.1,0.0,-23.8,11.7,27.4,2026,12,July
2026-07-12,AI Agents,35,1.3,,185.7,0.0,58.3,2026,12,July
2026-07-12,Airflow,10,0.4,,,0.0,0.0,2026,12,July
2026-07-12,Ansible,131,4.7,0.0,-38.1,15.6,21.6,2026,12,July
2026-07-12,ArgoCD,100,3.6,1.0,-33.3,26.2,58.6,2026,12,July
2026-07-12,AWS,1025,37.2,0.0,-14.3,13.6,39.6,2026,12,July
2026-07-12,AWS Security,88,3.2,0.0,-21.9,9.0,27.9,2026,12,July
2026-07-12,Azure,899,32.6,0.0,-14.3,16.6,43.2,2026,12,July
2026-07-12,Bash,97,3.5,0.0,-33.3,14.6,22.2,2026,12,July
2026-07-12,BigQuery,12,0.4,,,0.0,0.0,2026,12,July
2026-07-12,C#,85,3.1,0.0,-35.7,21.9,26.7,2026,12,July
2026-07-12,C++,15,0.5,2.0,,1.1,63.0,2026,12,July
2026-07-12,CI/CD,781,28.3,0.0,-16.7,14.3,40.1,2026,12,July
2026-07-12,ClickHouse,14,0.5,,,0.0,0.0,2026,12,July
2026-07-12,Databricks,14,0.5,0.0,,12.7,22.0,2026,12,July
2026-07-12,Datadog,68,2.5,0.0,17.9,2.5,35.3,2026,12,July
2026-07-12,dbt,124,4.5,,-23.8,8.1,40.3,2026,12,July
